Rank,Population Density ▼,City / Population,,,,
268,660.4/sq mi,"Lookout Mountain, GA / 1,756",,,,
269,657.5/sq mi,"Boston, GA / 1,484",,,,
270,656.3/sq mi,"Braselton, GA / 8,212",,,,
271,643.8/sq mi,"Richland, GA / 2,089",,,,
272,642.8/sq mi,"Lyerly, GA / 483",,,,
273,642.5/sq mi,"Adel, GA / 5,294",,,,
274,640.9/sq mi,"Augusta-Richmond County Consolidated Government, GA / 196,551",,,,
275,639.2/sq mi,"Lula, GA / 2,771",,,,
276,638.2/sq mi,"Funston, GA / 743",,,,
277,631.3/sq mi,"Hoschton, GA / 1,642",,,,
278,627.3/sq mi,"Bainbridge, GA / 12,600",,,,
279,627.1/sq mi,"Doerun, GA / 794",,,,
280,626.6/sq mi,"Lake Park, GA / 885",,,,
281,623.7/sq mi,"Kingston, GA / 785",,,,
282,623.0/sq mi,"Garden City, GA / 8,924",,,,
283,622.1/sq mi,"Collins, GA / 643",,,,
284,621.5/sq mi,"East Dublin, GA / 2,549",,,,
285,619.6/sq mi,"Brunswick, GA / 15,648",,,,
286,618.1/sq mi,"Trenton, GA / 1,988",,,,
287,617.9/sq mi,"Jesup, GA / 10,275",,,,
288,616.1/sq mi,"Harlem, GA / 2,795",,,,
289,615.1/sq mi,"Temple, GA / 4,244",,,,
290,614.6/sq mi,"Tunnel Hill, GA / 986",,,,
291,611.0/sq mi,"Unadilla, GA / 3,716",,,,
292,600.9/sq mi,"Vidalia, GA / 10,596",,,,
293,599.5/sq mi,"East Newnan, GA / 1,771",,,,
294,599.5/sq mi,"Gibson, GA / 623",,,,
295,598.8/sq mi,"Danielsville, GA / 894",,,,
296,595.4/sq mi,"Pitts, GA / 477",,,,
297,593.9/sq mi,"Clayton, GA / 1,945",,,,
298,589.6/sq mi,"Bremen, GA / 6,204",,,,
299,588.5/sq mi,"Leesburg, GA / 2,936",,,,
300,587.3/sq mi,"Barwick, GA / 440",,,,
301,585.1/sq mi,"Woodbine, GA / 1,503",,,,
302,582.5/sq mi,"Blue Ridge, GA / 1,387",,,,
303,577.2/sq mi,"Menlo, GA / 452",,,,
304,575.6/sq mi,"Meigs, GA / 921",,,,
305,575.1/sq mi,"Roberta, GA / 866",,,,
306,574.1/sq mi,"Swainsboro, GA / 7,431",,,,
307,570.6/sq mi,"Milner, GA / 1,144",,,,
308,567.6/sq mi,"Twin City, GA / 2,051",,,,
309,564.9/sq mi,"Alma, GA / 3,514",,,,
310,564.6/sq mi,"Pearson, GA / 1,898",,,,
311,559.4/sq mi,"Reynolds, GA / 1,120",,,,
312,559.4/sq mi,"Perry, GA / 14,714",,,,
313,555.9/sq mi,"Hull, GA / 178",,,,
314,554.3/sq mi,"Grantville, GA / 3,105",,,,
315,553.6/sq mi,"Commerce, GA / 6,535",,,,
316,552.2/sq mi,"Trion, GA / 2,124",,,,
317,547.1/sq mi,"Tyrone, GA / 7,028",,,,
318,546.0/sq mi,"Byron, GA / 4,725",,,,
319,546.0/sq mi,"Bowdon, GA / 1,856",,,,
320,542.3/sq mi,"Ila, GA / 418",,,,
321,537.1/sq mi,"Orchard Hill, GA / 193",,,,
322,535.9/sq mi,"Mount Vernon, GA / 2,207",,,,
323,530.7/sq mi,"Rochelle, GA / 1,012",,,,
324,529.5/sq mi,"Warwick, GA / 430",,,,
325,527.1/sq mi,"Bogart, GA / 1,254",,,,
326,526.7/sq mi,"Baxley, GA / 4,419",,,,
327,526.0/sq mi,"Varnell, GA / 1,766",,,,
328,524.9/sq mi,"Metter, GA / 4,137",,,,
329,524.0/sq mi,"Butler, GA / 1,711",,,,
330,523.7/sq mi,"Lyons, GA / 4,395",,,,
331,520.5/sq mi,"Manchester, GA / 4,190",,,,
332,519.9/sq mi,"Washington, GA / 4,031",,,,
333,516.7/sq mi,"Chattanooga Valley, GA / 3,848",,,,
334,515.2/sq mi,"Adairsville, GA / 4,692",,,,
335,514.1/sq mi,"Sparks, GA / 2,128",,,,
336,513.8/sq mi,"Locust Grove, GA / 5,573",,,,
337,509.7/sq mi,"Whigham, GA / 604",,,,
338,507.5/sq mi,"Robins, GA / 1,413",,,,
339,503.3/sq mi,"Woodland, GA / 398",,,,
340,502.1/sq mi,"Yatesville, GA / 440",,,,
341,501.5/sq mi,"Allenhurst, GA / 555",,,,
342,500.9/sq mi,"Sylvania, GA / 2,565",,,,
343,498.7/sq mi,"Greensboro, GA / 3,389",,,,
344,496.9/sq mi,"Lenox, GA / 807",,,,
345,492.8/sq mi,"Cobbtown, GA / 335",,,,
346,488.7/sq mi,"Norwood, GA / 403",,,,
347,483.2/sq mi,"Pinehurst, GA / 493",,,,
348,482.1/sq mi,"Maysville, GA / 2,079",,,,
349,480.5/sq mi,"Plainville, GA / 347",,,,
350,477.6/sq mi,"Sasser, GA / 373",,,,
351,477.0/sq mi,"Pine Mountain, GA / 1,426",,,,
352,472.8/sq mi,"Mount Airy, GA / 1,224",,,,
353,472.1/sq mi,"Brooklet, GA / 1,588",,,,
354,470.8/sq mi,"Avera, GA / 306",,,,
355,469.2/sq mi,"Ideal, GA / 542",,,,
356,467.4/sq mi,"Moreland, GA / 428",,,,
357,463.6/sq mi,"Cadwell, GA / 596",,,,
358,462.7/sq mi,"Homeland, GA / 1,141",,,,
359,461.3/sq mi,"Lumber City, GA / 894",,,,
360,458.5/sq mi,"Newborn, GA / 736",,,,
361,454.6/sq mi,"Sandersville, GA / 5,839",,,,
362,453.4/sq mi,"Madison, GA / 3,983",,,,
363,451.1/sq mi,"Tiger, GA / 374",,,,
364,448.2/sq mi,"Walnut Grove, GA / 1,383",,,,
365,447.6/sq mi,"Deenwood, GA / 1,514",,,,
366,446.6/sq mi,"Franklin Springs, GA / 981",,,,
367,445.5/sq mi,"Ellijay, GA / 1,579",,,,
368,444.4/sq mi,"Edison, GA / 1,040",,,,
369,444.2/sq mi,"Hilltop, GA / 439",,,,
370,443.5/sq mi,"Marshallville, GA / 1,400",,,,
371,443.0/sq mi,"Hogansville, GA / 3,063",,,,
372,442.3/sq mi,"Hiawassee, GA / 930",,,,
373,442.1/sq mi,"Lincolnton, GA / 1,559",,,,
374,437.7/sq mi,"Jefferson, GA / 9,630",,,,
375,437.6/sq mi,"Wadley, GA / 2,013",,,,
376,437.3/sq mi,"Skidaway Island, GA / 7,798",,,,
377,434.8/sq mi,"Norman Park, GA / 1,363",,,,
378,431.9/sq mi,"Fairmount, GA / 773",,,,
379,431.6/sq mi,"Sunny Side, GA / 87",,,,
380,431.0/sq mi,"Jasper, GA / 3,691",,,,
381,427.1/sq mi,"Willacoochee, GA / 1,632",,,,
382,425.8/sq mi,"Baconton, GA / 831",,,,
383,424.3/sq mi,"Pavo, GA / 749",,,,
384,423.8/sq mi,"Warm Springs, GA / 586",,,,
385,423.1/sq mi,"Palmetto, GA / 4,893",,,,
386,421.6/sq mi,"Newington, GA / 342",,,,
387,421.3/sq mi,"Concord, GA / 349",,,,
